,Temperature,River_Flow,Rainfall,Pollution_Index,pH,DO,Turbidity,Conductivity
2024-01-01,15.66745243900228,432.46878919590176,1.1847847897612984,53.4078269912331,8.034078269912332,5.329608650438345,55.737435641671446,650.5587024342483
2024-01-02,15.0,435.4597611819319,1.1847847897612984,49.11523391564331,7.991152339156433,5.544238304217835,51.659472219861144,618.3642543673247
2024-01-03,15.0,598.5945358138681,1.1847847897612984,46.45920069639486,7.964592006963948,5.677039965180257,49.136240661575115,598.4440052229614
2024-01-04,15.747307836315137,555.562544164675,1.1847847897612984,46.4044507828418,7.964044507828418,5.67977746085791,49.08422824369971,598.0333808713135
2024-01-05,15.0,473.8065617490562,1.1847847897612984,39.06280799340541,7.8906280799340545,6.0468596003297295,42.10966759373514,542.9710599505406
2024-01-06,15.0,459.142809105314,1.1847847897612984,44.0894446170856,7.940894446170856,5.795527769145719,46.88497238623132,580.6708346281421
2024-01-07,15.0,552.6588531275534,1.1847847897612984,46.576625730799265,7.965766257307993,5.671168713460037,49.2477944442593,599.3246929809945
2024-01-08,16.47707559845707,505.59088535115615,1.1847847897612984,48.33000677522049,7.983300067752205,5.583499661238975,50.913506436459464,612.4750508141537
2024-01-09,15.0,444.1772161342534,1.1847847897612984,44.80827322366982,7.948082732236698,5.75958633881651,47.567859562486326,586.0620491775237
2024-01-10,15.0,766.23111181932,1.1847847897612984,35.19434012307217,7.851943401230722,6.2402829938463915,38.434623116918566,513.9575509230413
2024-01-11,18.135093460001727,544.8179236267565,1.1847847897612984,54.84262822715384,8.048426282271539,5.257868588642308,57.10049681579614,661.3197117036538
2024-01-12,17.471945312472453,486.18024835791624,1.1847847897612984,47.04615809822799,7.97046158098228,5.6476920950886,49.69385019331659,602.8461857367099
2024-01-13,15.0,409.98472751638934,1.1847847897612984,46.36322131357417,7.9636322131357415,5.681838934321291,49.045060247895464,597.7241598518062
2024-01-14,15.211014437109279,632.5821076386528,1.1847847897612984,51.51524695514059,8.015152469551406,5.4242376522429705,53.93948460738356,636.3643521635545
2024-01-15,15.0,662.9535148634862,1.1847847897612984,44.56486277837549,7.945648627783755,5.771756861081226,47.336619639456714,584.2364708378161
2024-01-16,15.0,377.70175935722534,1.1847847897612984,43.7484400615711,7.937484400615711,5.812577996921445,46.56101805849255,578.1133004617833
2024-01-17,15.135542926658168,440.58341283153425,1.1847847897612984,39.84471739359295,7.89844717393593,6.007764130320353,42.852481523913305,548.8353804519471
2024-01-18,15.0,621.5539920219196,1.1847847897612984,43.443684094506764,7.934436840945068,5.827815795274661,46.271499889781424,575.8276307088007
2024-01-19,15.0,380.4318512885395,1.1847847897612984,50.563121191782564,8.005631211917827,5.471843940410872,53.03496513219344,629.2234089383692
2024-01-20,17.162856240289237,444.54820880810723,1.1847847897612984,59.32826970196799,8.09328269701968,5.0335865149016,61.3618562168696,694.9620227647599
2024-01-21,15.0,479.4904466185742,1.1847847897612984,52.1511543845161,8.021511543845161,5.392442280774195,54.543596665290295,641.1336578838707
2024-01-22,15.0,480.4160526971344,1.1847847897612984,48.50767523813049,7.985076752381305,5.574616238093475,51.082291476223965,613.8075642859787
2024-01-23,15.088956884757083,625.0582460277733,1.1847847897612984,35.337467486755465,7.853374674867554,6.233126625662226,38.57059411241769,515.0310061506659
2024-01-24,15.0,551.8959841082218,1.1847847897612984,52.11789465011008,8.0211789465011,5.394105267494496,54.511999917604584,640.8842098758257
2024-01-25,18.72149144997643,622.0274142759396,1.1847847897612984,61.693254072263755,8.116932540722637,4.915337296386812,63.60859136865057,712.6994055419782
2024-01-26,15.0,335.3169648664521,1.1847847897612984,45.47030114011304,7.95470301140113,5.7264849429943485,48.19678608310738,591.0272585508478
2024-01-27,17.991865617695403,578.6218757735908,1.1847847897612984,54.265969766769224,8.042659697667693,5.286701511661539,56.552671278430765,656.9947732507692
2024-01-28,15.0,515.9062240061247,1.1847847897612984,53.97164504747957,8.039716450474796,5.301417747626022,56.27306279510559,654.7873378560968
2024-01-29,15.0,636.6847874839791,1.1847847897612984,47.50474602886844,7.9750474602886845,5.624762698556578,50.12950872742502,606.2855952165132
2024-01-30,15.829334994047297,353.5657692893996,1.1847847897612984,44.576466609333615,7.9457646660933365,5.771176669533319,47.34764327886693,584.3234995700021
2024-01-31,17.77779888064601,551.2772422133169,1.1847847897612984,54.29556175909004,8.0429556175909,5.285221912045499,56.580783671135535,657.2167131931753
2024-02-01,15.0,572.5992114955305,1.1847847897612984,46.0037517836153,7.960037517836153,5.699812410819235,48.703564194434534,595.0281383771147
2024-02-02,15.764882536964286,511.3251347884111,1.1847847897612984,34.90045357925,7.8490045357925,6.2549773210375,38.1554309002875,511.753401844375
2024-02-03,16.900761506273362,505.26181583944026,1.1847847897612984,44.915546846192775,7.949155468461928,5.754222657690361,47.66976950388314,586.8666013464458
2024-02-04,16.328760760593344,369.79771682736555,1.1847847897612984,44.502605214662026,7.94502605214662,5.774869739266899,47.27747495392892,583.7695391099652
2024-02-05,17.628307811839058,560.8176740486456,1.1847847897612984,56.345565390715315,8.063455653907154,5.182721730464234,58.528287121179545,672.5917404303648
2024-02-06,16.54580040320527,527.2342654125429,1.1847847897612984,50.014978234609565,8.000149782346096,5.499251088269522,52.51422932287909,625.1123367595717
2024-02-07,18.991936371706547,550.8541988286778,1.1847847897612984,52.937785764919916,8.0293778576492,5.353110711754004,55.29089647667392,647.0333932368994
